# time_s,Cell_Conc_X_mmol/L,Env_Conc_X_mmol/L,
5.000833472245374445e+00,1.000601524626921167e-03,1.000209342906281445e-03
1.000166694449074889e+01,1.000435617984608404e-03,1.000159762938069522e-03
1.500250041673612245e+01,1.000317043902305318e-03,1.000121957210487822e-03
2.000333388898149778e+01,1.000231841239226580e-03,1.000093118778421853e-03
2.500416736122687311e+01,1.000170295292139794e-03,1.000071113510228506e-03
3.000500083347224489e+01,1.000125611280847050e-03,1.000054317591119422e-03
3.500583430571762023e+01,1.000093011414496377e-03,1.000041494682412128e-03
4.000666777796299556e+01,1.000069117920651457e-03,1.000031702922897807e-03
4.500750125020837089e+01,1.000051529723327984e-03,1.000024224445016357e-03
5.000833472245374622e+01,1.000038542766741026e-03,1.000018800823846777e-03
5.500916819469912156e+01,1.000295220856942764e-03,1.006390641491466736e-03
