# time_s,Cell_Conc_Y_mmol/L,Env_Conc_Y_mmol/L,
5.000833472245374445e+00,7.287276161724169921e-01,2.836233101788033714e-02
1.000166694449074889e+01,4.825172279354637550e-01,9.666079039032519568e-03
1.500250041673612245e+01,3.190158293050844307e-01,6.850623124888995108e-03
2.000333388898149778e+01,2.110719063409395579e-01,5.051597343350303602e-03
2.500416736122687311e+01,1.398037031750744841e-01,3.820844630778919004e-03
3.000500083347224489e+01,9.274152622079254171e-02,2.974189675448282721e-03
3.500583430571762023e+01,6.165729579166232682e-02,2.389051749496687478e-03
4.000666777796299556e+01,4.112136049154480055e-02,1.982675692136747370e-03
4.500750125020837089e+01,2.755036758741883501e-02,1.699006991865933220e-03
5.000833472245374622e+01,1.857916814858610530e-02,1.499946711103056045e-03
5.500916819469912156e+01,1.264646037244292025e-02,1.359503093825174813e-03
