# Time [s], NaKATPase [mM/s],HKATPase [mM/s],NBC [mM/s],
5.000833472245374445e+00,8.173431857625109687e-08,4.627110131344125758e-14,1.408165111001962470e-09
1.000166694449074889e+01,8.091653423437462489e-08,4.519322006936072324e-14,1.160637721194002347e-09
1.500250041673612245e+01,7.901722133360251649e-08,4.415063679242281950e-14,9.150025105269916583e-10
2.000333388898149778e+01,7.390646752983387880e-08,4.327107606729697616e-14,6.720094513438595115e-10
2.500416736122687311e+01,6.095079824858697403e-08,4.290842521746911948e-14,4.342194383686452663e-10
3.000500083347224489e+01,3.849235863727975635e-08,4.365841502770293492e-14,2.080353135677475256e-10
3.500583430571762023e+01,2.209100301351191925e-08,4.554996920244137761e-14,9.275364241927391124e-12
4.000666777796299556e+01,2.403668620484529448e-08,4.757521780136655362e-14,-1.364396409879282705e-10
4.500750125020837089e+01,3.438683691915318652e-08,4.903084117532978919e-14,-2.194064538923976607e-10
5.000833472245374622e+01,4.367190207530968355e-08,4.991223769266636711e-14,-2.526678921439619609e-10
5.500916819469912156e+01,4.968453915353466754e-08,5.041735306165099885e-14,-2.545611499888375103e-10
