# time_s,Cell_Conc_HCO3_mmol/L,Env_Conc_HCO3_mmol/L,
5.000833472245374445e+00,7.086761585427292509e+00,1.308048398502805076e+00
1.000166694449074889e+01,7.085416568459823594e+00,1.308071938254546041e+00
1.500250041673612245e+01,7.083280785770120325e+00,1.308099264590391275e+00
2.000333388898149778e+01,7.080324043950030344e+00,1.308127524537618491e+00
2.500416736122687311e+01,7.076444655698179709e+00,1.308159067219727856e+00
3.000500083347224489e+01,7.071422358716226597e+00,1.308196638382175259e+00
3.500583430571762023e+01,7.065051499251106648e+00,1.308236906709510095e+00
4.000666777796299556e+01,7.057446540710602179e+00,1.308270645416785838e+00
4.500750125020837089e+01,7.049002362277678735e+00,1.308293786251690349e+00
5.000833472245374622e+01,7.040112460092743163e+00,1.308308055318523344e+00
5.500916819469912156e+01,7.031044011667492377e+00,1.308316025105403124e+00
