# time_s,Cell_Conc_cAMP_mmol/L,Env_Conc_cAMP_mmol/L,
5.000833472245374445e+00,9.999999994282048055e-04,9.999999996861586200e-04
1.000166694449074889e+01,9.999999995637632536e-04,9.999999997600387582e-04
1.500250041673612245e+01,9.999999996670820828e-04,9.999999998165243903e-04
2.000333388898149778e+01,9.999999997458656337e-04,9.999999998597174870e-04
2.500416736122687311e+01,9.999999998059601412e-04,9.999999998927366473e-04
3.000500083347224489e+01,9.999999998518158215e-04,9.999999999179844633e-04
3.500583430571762023e+01,9.999999998868149519e-04,9.999999999372862977e-04
4.000666777796299556e+01,9.999999999135355481e-04,9.999999999520592028e-04
4.500750125020837089e+01,9.999999999339382814e-04,9.999999999633390254e-04
5.000833472245374622e+01,9.999999999495219529e-04,9.999999999719642874e-04
5.500916819469912156e+01,9.999999999614249749e-04,9.999999999785659944e-04
