x [um],y [um],Vmem [mV]
5.808884296748563258e+01,5.001956351869723250e+01,-1.521226888850597447e+01
5.424800727180779347e+01,5.670720949773779296e+01,-1.533713158511270258e+01
4.643056811208539614e+01,5.674543847006088981e+01,-1.537331940045260659e+01
4.240951997620567226e+01,5.014838408363363698e+01,-1.518988187685663149e+01
4.625308289856107535e+01,4.347712252121100107e+01,-1.499867908317708753e+01
5.411496673011874492e+01,4.338653092859780713e+01,-1.494961170578437226e+01
5.026584706608991127e+01,4.999519797831555223e+01,-2.279901993518804204e+01
