x [um],y [um],Vmem [mV]
5.808884296748563258e+01,5.001956351869723250e+01,-6.579129358836215147e+01
5.424800727180779347e+01,5.670720949773779296e+01,-6.579601243845057468e+01
4.643056811208539614e+01,5.674543847006088981e+01,-6.579797404089086399e+01
4.240951997620567226e+01,5.014838408363363698e+01,-6.579002873635501203e+01
4.625308289856107535e+01,4.347712252121100107e+01,-6.577694895315291035e+01
5.411496673011874492e+01,4.338653092859780713e+01,-6.577407976485373808e+01
5.026584706608991127e+01,4.999519797831555223e+01,-6.590755694793880082e+01
