x [um],y [um],Vmem [mV]
5.808884296748563258e+01,5.001956351869723250e+01,-6.540763045249488528e+01
5.424800727180779347e+01,5.670720949773779296e+01,-6.542191836464242272e+01
4.643056811208539614e+01,5.674543847006088981e+01,-6.542633848229104387e+01
4.240951997620567226e+01,5.014838408363363698e+01,-6.540489459035397601e+01
4.625308289856107535e+01,4.347712252121100107e+01,-6.538057581925804129e+01
5.411496673011874492e+01,4.338653092859780713e+01,-6.537458500562486563e+01
5.026584706608991127e+01,4.999519797831555223e+01,-6.631097250331495729e+01
