x [um],y [um],Vmem [mV]
5.808884296748563258e+01,5.001956351869723250e+01,-6.570997593001951032e+01
5.424800727180779347e+01,5.670720949773779296e+01,-6.572602253135528372e+01
4.643056811208539614e+01,5.674543847006088981e+01,-6.573082156861167391e+01
4.240951997620567226e+01,5.014838408363363698e+01,-6.570700832285292847e+01
4.625308289856107535e+01,4.347712252121100107e+01,-6.568116213106590351e+01
5.411496673011874492e+01,4.338653092859780713e+01,-6.567466480829722286e+01
5.026584706608991127e+01,4.999519797831555223e+01,-6.676672710678592182e+01
