# time_s,Cell_Conc_H2CO3_mmol/L,Env_Conc_H2CO3_mmol/L,
1.500050001666722288e+01,1.012968651339155812e+00,8.934729864209858263e-01
3.000100003333444576e+01,9.619115646986405865e-01,8.927302317742313864e-01
4.500150005000166686e+01,9.472706399663982646e-01,8.924827711168016320e-01
6.000200006666889152e+01,9.443383811608905276e-01,8.924110947716533682e-01
7.500250008333611618e+01,9.533902329956005506e-01,8.924933092635285448e-01
9.000300010000333373e+01,9.640576804001681488e-01,8.926364403831251737e-01
1.050035001166705513e+02,9.685647725977254430e-01,8.927055486775671289e-01
1.200040001333377830e+02,9.694215171165303513e-01,8.927226953816010946e-01
1.350045001500049864e+02,9.683051526994211899e-01,8.927099439009698045e-01
1.500050001666722324e+02,9.607608734432206976e-01,8.926339262684132025e-01
1.650055001833394499e+02,9.440144570490525133e-01,8.924298184373934406e-01
1.800060002000066675e+02,9.384929922315717876e-01,8.923154985208552326e-01
1.950065002166738850e+02,9.388043005435621202e-01,8.922879791595975663e-01
2.100070002333411026e+02,9.408482151949266736e-01,8.922997849024171257e-01
2.250075002500083201e+02,9.432482556553898334e-01,8.923259346138008308e-01
2.400080002666755661e+02,9.455783327173132857e-01,8.923560831145198602e-01
2.550085002833427836e+02,9.585513812926885757e-01,8.925221047566566090e-01
2.700090003000099728e+02,9.706383568234950854e-01,8.927154908533156963e-01
2.850095003166772472e+02,9.778657039654115035e-01,8.928430554330583080e-01
