# time_s,Cell_Conc_X_mmol/L,Env_Conc_X_mmol/L,
1.500050001666722288e+01,7.127052134905945613e-04,9.945917971090074538e-04
3.000100003333444576e+01,9.170835148669615258e-04,9.981602440719307412e-04
4.500150005000166686e+01,9.759871047050352154e-04,9.993432244725687641e-04
6.000200006666889152e+01,6.000521239607093694e-03,1.072871809596589593e-01
7.500250008333611618e+01,6.695235173992352129e-01,9.938749526877179719e-01
9.000300010000333373e+01,9.046509473119044298e-01,9.979288247880930829e-01
1.050035001166705513e+02,9.723999056475015612e-01,9.992647813000530288e-01
1.200040001333377830e+02,9.869456656402241235e-01,8.931052319542363005e-01
1.350045001500049864e+02,3.290660935949910049e-01,7.017215549281001150e-03
1.500050001666722324e+02,9.563499501659988855e-02,3.027579590625775145e-03
1.650055001833394499e+02,2.838513125269378698e-02,1.717050160366572148e-03
1.800060002000066675e+02,8.963029243705960755e-03,1.266268783507588751e-03
1.950065002166738850e+02,3.332501730288647997e-03,1.103472434647938824e-03
2.100070002333411026e+02,1.690729425569931048e-03,1.041795752436879821e-03
2.250075002500083201e+02,1.207830061184526861e-03,1.017405716180758883e-03
2.400080002666755661e+02,1.063953919945095005e-03,1.007414528275253282e-03
2.550085002833427836e+02,1.020285471193561498e-03,1.003209536354270157e-03
2.700090003000099728e+02,1.006686558924698100e-03,1.001404684336197094e-03
2.850095003166772472e+02,1.002305997095933373e-03,1.000619324099352942e-03
