x [um],y [um],Vmem [mV]
5.808884296748563258e+01,5.001956351869723250e+01,-4.006678931643136821e+01
5.424800727180779347e+01,5.670720949773779296e+01,-3.987734874234867277e+01
4.643056811208539614e+01,5.674543847006088981e+01,-3.984931961058899219e+01
4.240951997620567226e+01,5.014838408363363698e+01,-4.008590718699453959e+01
4.625308289856107535e+01,4.347712252121100107e+01,-4.016111967122062509e+01
5.411496673011874492e+01,4.338653092859780713e+01,-4.020579166559407014e+01
5.026584706608991127e+01,4.999519797831555223e+01,-3.856894752642178759e+01
