x [um],y [um],Vmem [mV]
5.808884296748563258e+01,5.001956351869723250e+01,-4.588937836847152596e+01
5.424800727180779347e+01,5.670720949773779296e+01,-4.544214326378838109e+01
4.643056811208539614e+01,5.674543847006088981e+01,-4.536812666981157349e+01
4.240951997620567226e+01,5.014838408363363698e+01,-4.593725867524774031e+01
4.625308289856107535e+01,4.347712252121100107e+01,-4.616028529143974168e+01
5.411496673011874492e+01,4.338653092859780713e+01,-4.626829164619451973e+01
5.026584706608991127e+01,4.999519797831555223e+01,-3.939504714488102621e+01
